"Niveau";"% cultuurdeelname|2023"
"Subwijk Oog in Al, Welgelegen";94
"Subwijk Lombok, Leidseweg";91
"Subwijk Nieuw Engeland, Schepenbrt";90
"Subwijk Pijlsweerd";95
"Subwijk Ondiep, 2e Daalsebrt";85
"Subwijk Zuilen-west";94
"Subwijk Zuilen-noord en -oost";79
"Subwijk Taagdreef, Wolgadreef";83
"Subwijk Zamenhofdreef, Neckardreef";77
"Subwijk Vechtzoom, Klopvaart";81
"Subwijk Zambesidreef, Tigrisdreef";75
"Subwijk Votulast";93
"Subwijk Tuindorp, Voordorp";94
"Subwijk Wittevrouwen, Zeeheldenbrt";95
"Subwijk Oudwijk, Buiten Wittevrouwen";96
"Subwijk Abstede, Gansstraat";93
"Subwijk Wilhelminapark, Rijnsweerd";97
"Subwijk Binnenstad city- en winkelgeb";98
"Subwijk Binnenstad woongebied";98
"Subwijk Lunetten";89
"Subwijk Oud Hoograven, Tolsteeg";95
"Subwijk Nieuw Hoograven, Bokkenbrt";80
"Subwijk Dichterswijk, Rivierenwijk";90
"Subwijk Transwijk";85
"Subwijk Kanaleneiland";76
"Subwijk Terwijde, De Wetering";91
"Subwijk Het Zand";92
"Subwijk Leidsche Rijn Centrum e.o";92
"Subwijk Parkwijk, Langerak";87
"Subwijk Leidsche Rijn-zuid";"."
"Subwijk Vleuten, Haarzuilens";87
"Subwijk Veldhuizen, Vleuterweide";89
"Subwijk De Meern";90
"Subwijk Rijnenburg";"."
"Utrecht";89
