"Niveau";"% dat klassieke muziek bezoekt|2023";"% dat popmuziek of dance bezoekt|2023";"% dat muziektheater, musical of opera bezoekt|2023";"% dat overige muziek bezoekt|2023";"% dat toneel of dans bezoekt|2023";"% dat cabaret of stand-up comedian bezoekt|2023";"% dat naar de film gaat|2023";"% dat museum bezoekt|2023";"% dat festival of cultureel evenement bezoekt|2023";"% dat restaurant of café bezoekt|2023"
"Subwijk Oog in Al, Welgelegen";28;58;42;50;32;34;82;79;63;95
"Subwijk Lombok, Leidseweg";27;62;42;59;31;32;80;68;69;92
"Subwijk Nieuw Engeland, Schepenbrt";24;68;40;49;34;32;80;65;72;92
"Subwijk Pijlsweerd";36;68;39;61;35;44;83;68;75;97
"Subwijk Ondiep, 2e Daalsebrt";21;57;43;50;32;29;74;59;67;86
"Subwijk Zuilen-west";26;66;44;56;31;32;78;71;73;93
"Subwijk Zuilen-noord en -oost";15;40;29;43;23;22;63;50;53;85
"Subwijk Taagdreef, Wolgadreef";15;31;28;36;24;28;67;53;49;85
"Subwijk Zamenhofdreef, Neckardreef";18;33;26;39;17;23;56;46;44;82
"Subwijk Vechtzoom, Klopvaart";23;40;35;39;18;22;66;53;55;84
"Subwijk Zambesidreef, Tigrisdreef";14;21;24;33;17;10;52;39;37;80
"Subwijk Votulast";31;63;41;58;40;36;83;75;75;93
"Subwijk Tuindorp, Voordorp";34;55;43;41;32;28;80;78;62;98
"Subwijk Wittevrouwen, Zeeheldenbrt";34;64;45;60;38;42;83;80;78;96
"Subwijk Oudwijk, Buiten Wittevrouwen";37;64;52;60;37;34;81;78;68;97
"Subwijk Abstede, Gansstraat";28;57;45;49;32;37;78;70;76;93
"Subwijk Wilhelminapark, Rijnsweerd";36;65;45;56;36;30;84;79;69;98
"Subwijk Binnenstad city- en winkelgeb";33;61;44;62;32;33;86;78;79;99
"Subwijk Binnenstad woongebied";37;57;44;58;35;36;86;82;76;97
"Subwijk Lunetten";26;50;42;47;28;31;70;72;59;92
"Subwijk Oud Hoograven, Tolsteeg";28;61;46;54;28;40;80;72;71;96
"Subwijk Nieuw Hoograven, Bokkenbrt";18;39;28;36;17;19;64;57;52;84
"Subwijk Dichterswijk, Rivierenwijk";27;59;41;52;31;35;79;70;67;93
"Subwijk Transwijk";20;49;32;46;25;27;72;62;62;89
"Subwijk Kanaleneiland";16;39;19;32;17;15;61;49;43;83
"Subwijk Terwijde, De Wetering";15;36;35;31;19;23;79;62;58;96
"Subwijk Het Zand";19;42;35;35;25;27;76;59;54;94
"Subwijk Leidsche Rijn Centrum e.o";15;49;45;41;23;25;80;65;67;96
"Subwijk Parkwijk, Langerak";15;35;31;34;17;25;77;59;47;90
"Subwijk Leidsche Rijn-zuid";".";".";".";".";".";".";".";".";".";"."
"Subwijk Vleuten, Haarzuilens";16;45;37;40;21;25;65;56;53;97
"Subwijk Veldhuizen, Vleuterweide";11;42;37;40;21;27;78;61;53;94
"Subwijk De Meern";18;46;41;40;22;31;72;60;50;93
"Subwijk Rijnenburg";".";".";".";".";".";".";".";".";".";"."
"Utrecht";24;51;38;47;27;29;75;65;62;92
