Wijken;aantal leerlingen naar woonlocatie en wijk onderwijsinstelling|West|schooljaar 2022/2023;aantal leerlingen naar woonlocatie en wijk onderwijsinstelling|Noordwest|schooljaar 2022/2023;aantal leerlingen naar woonlocatie en wijk onderwijsinstelling|Overvecht|schooljaar 2022/2023;aantal leerlingen naar woonlocatie en wijk onderwijsinstelling|Noordoost|schooljaar 2022/2023;aantal leerlingen naar woonlocatie en wijk onderwijsinstelling|Oost|schooljaar 2022/2023;aantal leerlingen naar woonlocatie en wijk onderwijsinstelling|Binnenstad|schooljaar 2022/2023;aantal leerlingen naar woonlocatie en wijk onderwijsinstelling|Zuid|schooljaar 2022/2023;aantal leerlingen naar woonlocatie en wijk onderwijsinstelling|Zuidwest|schooljaar 2022/2023;aantal leerlingen naar woonlocatie en wijk onderwijsinstelling|Leidsche Rijn|schooljaar 2022/2023;aantal leerlingen naar woonlocatie en wijk onderwijsinstelling|Vleuten-De Meern|schooljaar 2022/2023;
West;107;38;12;95;48;23;44;47;180;193;787
Noordwest;45;149;106;28;14;.;32;55;65;24;518
Overvecht;128;174;394;72;32;13;44;86;30;43;1016
Noordoost;108;182;388;272;97;21;97;80;36;.;1281
Oost;208;172;113;438;489;92;293;311;145;82;2343
Binnenstad;125;188;157;165;116;34;109;114;134;88;1230
Zuid;.;28;19;18;.;.;22;18;32;37;174
Zuidwest;294;230;173;208;143;58;272;712;401;209;2700
Leidsche Rijn;214;167;104;25;11;.;34;148;996;809;2508
Vleuten-De Meern;113;57;51;10;.;.;20;67;716;1351;2385
;1342;1385;1517;1331;950;241;967;1638;2735;2836;
;;;;;;;;;;;
;149;;;;;;;;;;
