"Niveau";"% inwoners dat tevreden is over culturele voorzieningen in de buurt|(zeer) tevreden|2023";"% inwoners dat tevreden is over culturele voorzieningen in de buurt|neutraal|2023";"% inwoners dat tevreden is over culturele voorzieningen in de buurt|(zeer) ontevreden|2023"
"Subwijk Oog in Al, Welgelegen";53;31;17
"Subwijk Lombok, Leidseweg";47;33;19
"Subwijk Nieuw Engeland, Schepenbrt";48;32;20
"Subwijk Pijlsweerd";46;29;25
"Subwijk Ondiep, 2e Daalsebrt";44;38;18
"Subwijk Zuilen-west";55;30;14
"Subwijk Zuilen-noord en -oost";46;36;18
"Subwijk Taagdreef, Wolgadreef";34;38;28
"Subwijk Zamenhofdreef, Neckardreef";42;36;22
"Subwijk Vechtzoom, Klopvaart";49;39;13
"Subwijk Zambesidreef, Tigrisdreef";51;34;15
"Subwijk Votulast";53;32;16
"Subwijk Tuindorp, Voordorp";33;43;24
"Subwijk Wittevrouwen, Zeeheldenbrt";64;27;10
"Subwijk Oudwijk, Buiten Wittevrouwen";71;25;4
"Subwijk Abstede, Gansstraat";49;35;15
"Subwijk Wilhelminapark, Rijnsweerd";43;32;24
"Subwijk Binnenstad city- en winkelgeb";70;23;7
"Subwijk Binnenstad woongebied";78;20;3
"Subwijk Lunetten";55;30;15
"Subwijk Oud Hoograven, Tolsteeg";42;36;21
"Subwijk Nieuw Hoograven, Bokkenbrt";41;35;24
"Subwijk Dichterswijk, Rivierenwijk";43;36;21
"Subwijk Transwijk";40;36;24
"Subwijk Kanaleneiland";44;38;19
"Subwijk Terwijde, De Wetering";46;42;12
"Subwijk Het Zand";56;31;13
"Subwijk Leidsche Rijn Centrum e.o";61;28;11
"Subwijk Parkwijk, Langerak";44;37;19
"Subwijk Leidsche Rijn-zuid";".";".";"."
"Subwijk Vleuten, Haarzuilens";50;35;15
"Subwijk Veldhuizen, Vleuterweide";50;35;15
"Subwijk De Meern";55;31;14
"Subwijk Rijnenburg";".";".";"."
"Utrecht";50;33;16
