accommodatie_id;accommodatie naam;bouwjaar;X;Y;adres;postcode;plaatsnaam;gemeente;provincie;aantal voorzieningen;aantal indoor voorzieningen;aantal outdoor voorzieningen;aantal outdoor kunstgrasvelden;aantal outdoor natuurgrasvelden;aantal outdoor semi-watervelden;aantal outdoor watervelden;aantal sporthallen;aantal sportzalen;aantal gymzalen;sport
241;Golfbaan Amelisweerd;2000;138791;452777;Mereveldseweg 7;3585lh;utrecht;utrecht;utrecht;27;0;27;0;0;0;0;0;0;0;golf
1477;Sportcentrum Olympos;1995;140466;455898;Uppsalalaan 3;3584ct;utrecht;utrecht;utrecht;3;3;0;0;0;0;0;3;0;0;basketbal
1477;Sportcentrum Olympos;1995;140466;455898;Uppsalalaan 3;3584ct;utrecht;utrecht;utrecht;3;3;0;0;0;0;0;3;0;0;beachvolleybal
1477;Sportcentrum Olympos;1995;140466;455898;Uppsalalaan 3;3584ct;utrecht;utrecht;utrecht;3;3;0;0;0;0;0;3;0;0;floorball
1477;Sportcentrum Olympos;1995;140466;455898;Uppsalalaan 3;3584ct;utrecht;utrecht;utrecht;3;0;3;1;1;0;1;0;0;0;hockey
1477;Sportcentrum Olympos;1995;140466;455898;Uppsalalaan 3;3584ct;utrecht;utrecht;utrecht;3;3;0;0;0;0;0;3;0;0;korfbal
1477;Sportcentrum Olympos;1995;140466;455898;Uppsalalaan 3;3584ct;utrecht;utrecht;utrecht;2;0;2;0;2;0;0;0;0;0;rugby
1477;Sportcentrum Olympos;1995;140466;455898;Uppsalalaan 3;3584ct;utrecht;utrecht;utrecht;3;3;0;0;0;0;0;3;0;0;squash
1477;Sportcentrum Olympos;1995;140466;455898;Uppsalalaan 3;3584ct;utrecht;utrecht;utrecht;3;3;0;0;0;0;0;3;0;0;tafeltennis
1477;Sportcentrum Olympos;1995;140466;455898;Uppsalalaan 3;3584ct;utrecht;utrecht;utrecht;9;0;9;0;0;0;0;0;0;0;tennis
1477;Sportcentrum Olympos;1995;140466;455898;Uppsalalaan 3;3584ct;utrecht;utrecht;utrecht;2;0;2;1;1;0;0;0;0;0;voetbal
1477;Sportcentrum Olympos;1995;140466;455898;Uppsalalaan 3;3584ct;utrecht;utrecht;utrecht;3;3;0;0;0;0;0;3;0;0;volleybal
1477;Sportcentrum Olympos;1995;140466;455898;Uppsalalaan 3;3584ct;utrecht;utrecht;utrecht;3;3;0;0;0;0;0;3;0;0;zaalsport
1478;Papendorp;2007;134426;453517;Tirionlaan 1C;3528bm;utrecht;utrecht;utrecht;4;0;4;0;0;0;0;0;0;0;tennis
1479;T.C. Domstad;2000;134108;454807;Kennedylaan 7;3533kh;utrecht;utrecht;utrecht;17;0;17;0;0;0;0;0;0;0;tennis
1480;Sportpark Rijnvliet;2013;133153;454061;Sportpark Rijnvliet 1;3545ea;utrecht;utrecht;utrecht;10;1;9;0;0;0;0;0;0;0;tennis
1481;Werkspoorkwartier;1987;134208;457009;Nijverheidsweg 10;3534am;utrecht;utrecht;utrecht;3;0;3;0;0;0;0;0;0;0;tennis
1482;Tennis Academy Utrecht;;134421;460401;Manitobadreef 8;3565ch;utrecht;utrecht;utrecht;2;0;2;0;0;0;0;0;0;0;tennis
1514;Sportpark Marco van Basten;2005;133984;456186;Kanaalweg 174;3533hl;utrecht;utrecht;utrecht;1;0;1;0;0;0;0;0;0;0;jeu de boules
1514;Sportpark Marco van Basten;2005;133984;456186;Kanaalweg 174;3533hl;utrecht;utrecht;utrecht;4;0;4;4;0;0;0;0;0;0;tennis
